Year,Land use,Irrigation,Sources,GHG emissions (Mt CO2e)
2010,Beef,dry,TCO2E_CHEM_APPL,0.0
2010,Beef,dry,TCO2E_CROP_MGT,0.0
2010,Beef,dry,TCO2E_CULTIV,0.0
2010,Beef,dry,TCO2E_DUNG_URINE,0.2947723613319397
2010,Beef,dry,TCO2E_ELEC,0.0
2010,Beef,dry,TCO2E_ENTERIC,4.37113474786377
2010,Beef,dry,TCO2E_FERT_PROD,0.0
2010,Beef,dry,TCO2E_FODDER,0.06817968860548734
2010,Beef,dry,TCO2E_FUEL,0.36193569221177696
2010,Beef,dry,TCO2E_HARVEST,0.0
2010,Beef,dry,TCO2E_IND_LEACH_RUNOFF,0.14643692874765396
2010,Beef,dry,TCO2E_IRRIG,0.0
2010,Beef,dry,TCO2E_MANURE_MGT,0.002145070357866585
2010,Beef,dry,TCO2E_PEST_PROD,0.0
2010,Beef,dry,TCO2E_SEED,0.4085755223258883
2010,Beef,dry,TCO2E_SOIL,0.0
2010,Beef,dry,TCO2E_SOWING,0.0
2010,Beef,irr,TCO2E_CHEM_APPL,0.01253755224609375
2010,Beef,irr,TCO2E_CROP_MGT,0.0
2010,Beef,irr,TCO2E_CULTIV,0.0308739716796875
2010,Beef,irr,TCO2E_DUNG_URINE,0.0152665966796875
2010,Beef,irr,TCO2E_ELEC,0.0
2010,Beef,irr,TCO2E_ENTERIC,0.162175841796875
2010,Beef,irr,TCO2E_FERT_PROD,0.0915415390625
2010,Beef,irr,TCO2E_FODDER,0.0011200904846191406
2010,Beef,irr,TCO2E_FUEL,0.03232057080078125
2010,Beef,irr,TCO2E_HARVEST,0.003531661437988281
2010,Beef,irr,TCO2E_IND_LEACH_RUNOFF,0.012181311157226562
2010,Beef,irr,TCO2E_IRRIG,0.019864186279296876
2010,Beef,irr,TCO2E_MANURE_MGT,2.727202844619751e-05
2010,Beef,irr,TCO2E_PEST_PROD,0.02390708544921875
2010,Beef,irr,TCO2E_SEED,0.0003245985565185547
2010,Beef,irr,TCO2E_SOIL,0.188681375
2010,Beef,irr,TCO2E_SOWING,0.00700798486328125
2010,Citrus,dry,TCO2E_CHEM_APPL,0.0
2010,Citrus,dry,TCO2E_CROP_MGT,0.0
2010,Citrus,dry,TCO2E_CULTIV,0.0
2010,Citrus,dry,TCO2E_DUNG_URINE,0.0
2010,Citrus,dry,TCO2E_ELEC,0.0
2010,Citrus,dry,TCO2E_ENTERIC,0.0
2010,Citrus,dry,TCO2E_FERT_PROD,0.0
2010,Citrus,dry,TCO2E_FODDER,0.0
2010,Citrus,dry,TCO2E_FUEL,0.0
2010,Citrus,dry,TCO2E_HARVEST,0.0
2010,Citrus,dry,TCO2E_IND_LEACH_RUNOFF,0.0
2010,Citrus,dry,TCO2E_IRRIG,0.0
2010,Citrus,dry,TCO2E_MANURE_MGT,0.0
2010,Citrus,dry,TCO2E_PEST_PROD,0.0
2010,Citrus,dry,TCO2E_SEED,0.0
2010,Citrus,dry,TCO2E_SOIL,0.0
2010,Citrus,dry,TCO2E_SOWING,0.0
2010,Citrus,irr,TCO2E_CHEM_APPL,0.014438560546875
2010,Citrus,irr,TCO2E_CROP_MGT,0.00697120458984375
2010,Citrus,irr,TCO2E_CULTIV,0.0
2010,Citrus,irr,TCO2E_DUNG_URINE,0.0
2010,Citrus,irr,TCO2E_ELEC,0.0
2010,Citrus,irr,TCO2E_ENTERIC,0.0
2010,Citrus,irr,TCO2E_FERT_PROD,0.19717221875
2010,Citrus,irr,TCO2E_FODDER,0.0
2010,Citrus,irr,TCO2E_FUEL,0.0
2010,Citrus,irr,TCO2E_HARVEST,0.0
2010,Citrus,irr,TCO2E_IND_LEACH_RUNOFF,0.0
2010,Citrus,irr,TCO2E_IRRIG,0.025580939453125
2010,Citrus,irr,TCO2E_MANURE_MGT,0.0
2010,Citrus,irr,TCO2E_PEST_PROD,0.0540178984375
2010,Citrus,irr,TCO2E_SEED,0.0
2010,Citrus,irr,TCO2E_SOIL,0.18288971875
2010,Citrus,irr,TCO2E_SOWING,0.0
2010,Cotton,dry,TCO2E_CHEM_APPL,0.01959417138671875
2010,Cotton,dry,TCO2E_CROP_MGT,0.0
2010,Cotton,dry,TCO2E_CULTIV,0.024327127685546877
2010,Cotton,dry,TCO2E_DUNG_URINE,0.0
2010,Cotton,dry,TCO2E_ELEC,0.0
2010,Cotton,dry,TCO2E_ENTERIC,0.0
